model,last_val_mse,last_val_r2,infer_mse,infer_r2,overlap_at_N,precision_at_N,de_direction_match,de_sig_genes_recall,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,clustering_agreement
VAE,0.10040035098791122,0.8006953001022339,0.10331954061985016,0.7959733605384827,0.2858385564434063,0.1728896002401728,0.9223874379252374,0.6219812817235187,0.2985396076854199,0.7568799795491167,0.6959163520095953,0.0038459598929916,0.0430480196196307,0.0037976112038178,0.0426555345849648,0.7600955161052777
VAE_no_norm,0.1002827063202858,0.8009288311004639,0.10317493975162506,0.7962589263916016,0.2878365349968597,0.1737016217531822,0.9209837773505596,0.6216078279152016,0.298217819217338,0.7569694618477221,0.6964521623814284,0.0038396663874311,0.0430240930919883,0.003790381936849,0.0426277756128015,0.7454808700126453
CondAE_cell_only,0.09987454861402512,0.8017390966415405,0.10273444652557373,0.7971287965774536,0.2860943545524982,0.1730060362777644,0.9229996960139554,0.623259479881803,0.296851571080552,0.758613411623013,0.6988956048639853,0.0038093228440222,0.0428151802118144,0.0037662136240201,0.0425004994635706,0.7394199639672417
Evoformer,0.1551152616739273,0.6920807361602783,0.15102486312389374,0.7017689943313599,0.3616400044500507,0.197892405254485,0.9322766113598856,0.6271095651969945,0.3222705393021562,0.7824957809977238,0.7213225588869693,0.0625630324345026,0.169486116495595,0.004077796058281,0.0441446392977638,0.7300125916498199
VAE_delta_aux,0.10252898186445236,0.7964697480201721,0.10574313998222351,0.7911874651908875,0.2795713115490351,0.1713957858427328,0.9203520332276792,0.6238297487022565,0.2983166423370585,0.7569970526909493,0.6945039249845405,0.0042664479206484,0.0446335113572596,0.0042216627840986,0.0443851829930417,0.7199245211579746
