model,cell_mse,cell_mae,real_mean,pred_mean,real_std,pred_std,std_ratio,delta_corr_flat,delta_slope_flat,delta_mse_group,delta_mae_group,norm_ratio_mean,norm_ratio_median,norm_ratio_p10,norm_ratio_p90,abs_ratio_mean,top20_corr_mean,top20_sign_mean,top20_recall_mean
VAE,0.10331954061985016,0.24230556190013885,0.4706077575683594,0.47353440523147583,0.7116194367408752,0.6350486874580383,0.8923993003417481,0.8284048056259122,0.6676917506925898,0.003797612152993679,0.04265553876757622,0.6826539039611816,0.6994898915290833,0.4704098701477051,0.8693491816520691,0.6167086958885193,0.8622519682633198,0.9735074626865672,0.5081716417910448
VAE_no_norm,0.10317493975162506,0.24189698696136475,0.4706077575683594,0.47289401292800903,0.7116194367408752,0.6346153616905212,0.8917903712637271,0.8284841020374497,0.6760466106813678,0.0037903827615082264,0.04262778162956238,0.6878713369369507,0.6988843679428101,0.4719889760017395,0.8806682825088501,0.6195139288902283,0.8645024490770546,0.9744029850746269,0.5134701492537314
CondAE_cell_only,0.10273444652557373,0.24096833169460297,0.4706077575683594,0.47175243496894836,0.7116194367408752,0.635014533996582,0.8923513063442645,0.8297343642860604,0.6778763252266811,0.0037662137765437365,0.04250049963593483,0.6916943788528442,0.7056902647018433,0.47647613286972046,0.8792032599449158,0.6226953864097595,0.8648257451341942,0.9755597014925373,0.5157089552238806
Evoformer,0.15102486312389374,0.2942584753036499,0.4706077575683594,0.4995855689048767,0.7116194367408752,0.6205790042877197,0.872065843407846,0.8197588112447753,0.7547314031440496,0.004077794495970011,0.0441446378827095,0.8117045164108276,0.8237451910972595,0.6131026148796082,0.9838721752166748,0.7598153948783875,0.8848152068601385,0.9823880597014926,0.5213432835820896
