model,cell_mse,cell_mae,real_std,pred_std,std_ratio,delta_corr_flat,delta_slope_flat,norm_ratio_mean,norm_ratio_median,abs_ratio_mean,top20_corr_mean,top20_sign_mean,top20_recall_mean
CondAE,0.10273444652557373,0.24096833169460297,0.7116194367408752,0.635014533996582,0.8923513293266296,0.8297343642860604,0.6778762340545654,0.691694386147741,0.7056902348995209,0.6226953703965714,0.8648257451341942,0.9755597014925373,0.5157089552238806
TopDelta,0.10734507441520691,0.24959242343902588,0.7116194367408752,0.6256011724472046,0.8791232109069824,0.8165470206719936,0.5270256996154785,0.5333200435251443,0.543626606464386,0.48358003140163064,0.8580972698015249,0.9698880597014924,0.5161194029850745
Evoformer,0.15102486312389374,0.2942584753036499,0.7116194367408752,0.6205790042877197,0.8720658421516418,0.8197588112447753,0.7547314167022705,0.8117046148029726,0.8237451910972595,0.7598154496790758,0.8848152068601385,0.9823880597014926,0.5213432835820896
