model,matrix_mse,matrix_mae,matrix_corr_flat,mean_real,mean_pred,var_real,var_pred,var_pred_over_real_global,gene_mean_corr,gene_var_corr,gene_var_ratio_mean,de_delta_corr_all,de_abs_delta_corr_all,de_sign_match_all,de_abs_delta_mean_ratio,de_abs_delta_median_ratio,de_per_target_corr_mean,de_per_target_corr_median,de_delta_norm_ratio_mean,de_delta_norm_ratio_median,de_top20_overlap_frac,de_top20_overlap_sign_match,cell_eval_pearson_delta,cell_eval_precision_at_N,cell_eval_overlap_at_N,cell_eval_de_direction_match,cell_eval_roc_auc,cell_eval_clustering_agreement
vae,0.10331954061985016,0.24230556190013885,0.8921828927191667,0.4706077575683594,0.47353440523147583,0.5064022541046143,0.40328681468963623,0.7963764071464539,0.999702489725229,0.8153907901639814,0.17909444868564606,0.8713438652144038,0.8931102506055552,0.6880619402985074,0.7732161731195021,0.49107353958921396,0.7927963508422875,0.8460814100870915,0.7949323446909412,0.8047237991932114,0.7021641791044776,0.9658305877351472,0.6959163520095953,0.1728896002401728,0.2858385564434063,0.9223874379252374,0.7568799795491167,0.7600955161052777
evoformer,0.15102486312389374,0.2942584753036499,0.8393437353318727,0.4706077575683594,0.4995855689048767,0.5064022541046143,0.3851183354854584,0.7604988813400269,0.9176532043394822,0.8007283471959342,0.3331065773963928,0.7940940409281719,0.8091950300353586,0.6988988805970149,0.8984647167219618,0.6758261518065298,0.7284190272059601,0.766556320732195,0.8785028196187493,0.8722695578411104,0.6158955223880597,0.9678904640736702,0.7213225588869693,0.197892405254485,0.3616400044500507,0.9322766113598856,0.7824957809977238,0.7300125916498199
cond_ae,0.11220742762088776,0.25259390473365784,0.8822875561658028,0.4706077575683594,0.4703623354434967,0.5064022541046143,0.39154019951820374,0.7731801867485046,0.9997305341566357,0.8036219166025959,0.13837982714176178,0.7992172597633993,0.8444640811951435,0.6652152985074626,0.7620416901610053,0.5126983230237502,0.6466798910697538,0.7317633402400858,0.8646200898282103,0.8291543463186357,0.6559701492537313,0.9232650739476678,0.62184858877045,0.1409662636052109,0.2446266996867742,0.8874709969515268,0.6996405273464844,0.6721041256041649
vqvae,0.12948645651340485,0.2743586301803589,0.8628331199864161,0.4706077575683594,0.4764670133590698,0.5064022541046143,0.3678141236305237,0.7263279557228088,0.9976297679178758,0.6822990189643681,0.08030320703983307,0.4829811080957909,0.6838355473590222,0.5895402985074627,0.951723439967769,0.6857084929331982,0.2875013465802352,0.36481080839211644,1.5788936284316324,1.2736282866597524,0.5238432835820895,0.7271173160481516,0.355466096953892,0.1111649768533215,0.1578250446686483,0.7327006241877055,0.5609094093597293,0.4270219541168339
cond_vae,0.2451833188533783,0.35539981722831726,0.7257813975648367,0.4706077575683594,0.47873303294181824,0.5064022541046143,0.3485936224460602,0.6883729696273804,0.9151884442019383,0.6188118852072022,0.6919113993644714,0.2727433880239477,0.3527521491847378,0.5934253731343283,1.1426018320303666,1.0067565130598615,0.22339989087408044,0.26258133318349663,2.0895952737846426,1.5210608081606902,0.453955223880597,0.6238698010849909,0.3345356721385841,0.1391504265393706,0.1882942821505597,0.7112224948906986,0.5907145304537337,0.3420769453628753
cond_delta_vae,0.22979630529880524,0.34361037611961365,0.7422240717827041,0.4706077575683594,0.46091413497924805,0.5064022541046143,0.33163994550704956,0.6548942923545837,0.9456180375708313,0.5915306951288759,0.6784271001815796,0.2934736189308817,0.39293738995916055,0.5978074626865671,0.9566282678550678,0.8907717307912099,0.1988080969940646,0.24142385247250012,1.4400457714754298,1.157327274291175,0.4657089552238806,0.6498677990545629,0.3391337385446306,0.1283750860855077,0.1689577570190477,0.7178065436625937,0.5645428266611324,0.3104230902830548
