model,perturbation,norm_ratio,abs_ratio,top20_recall,top20_sign,top20_corr
CondAE,ATP6V1B2,0.8765398263931274,0.7882407307624817,0.65,1.0,0.9767097213507707
CondAE,ATP6V1F,0.8428311944007874,0.7385990023612976,0.75,1.0,0.9646709667851846
CondAE,ATP6V1G1,0.8441073298454285,0.7726211547851562,0.75,1.0,0.9012391334266264
CondAE,ATP6V1H,0.8483853340148926,0.7780967950820923,0.7,1.0,0.9807018678370542
CondAE,ATR,0.8546007871627808,0.7891497015953064,0.75,1.0,0.9707547451557067
CondAE,ATRIP,0.7514566779136658,0.6492382287979126,0.7,1.0,0.9577878631876524
CondAE,AURKA,0.5847334265708923,0.5199592113494873,0.35,0.95,0.5410274812158309
CondAE,AURKAIP1,0.6946026086807251,0.6214649081230164,0.6,0.95,0.7694631435403605
CondAE,BAG6,0.6133092641830444,0.5572369694709778,0.3,1.0,0.8619119415083766
CondAE,BANP,0.42838573455810547,0.3279624283313751,0.3,1.0,0.7682160494059576
CondAE,BAP1,0.7226372957229614,0.6015403270721436,0.65,0.95,0.9269804289081836
CondAE,BARD1,0.5690318942070007,0.4733673632144928,0.25,0.95,0.8263280849395628
CondAE,BCLAF1,0.5352401733398438,0.4378223121166229,0.3,1.0,0.8591131539594447
CondAE,BCR,0.5366315841674805,0.4603878855705261,0.2,0.95,0.8691509548029114
CondAE,BCS1L,0.4928532540798187,0.38631361722946167,0.35,1.0,0.8455725816964127
CondAE,BET1,0.7132248282432556,0.6216638088226318,0.45,1.0,0.9698714233871051
CondAE,BMS1,0.899163007736206,0.8732729554176331,0.8,1.0,0.9732416958155974
CondAE,BOD1L1,0.48227131366729736,0.41046392917633057,0.3,1.0,0.6658010483463955
CondAE,BORA,0.6512424349784851,0.5415810346603394,0.65,1.0,0.9131587658096525
CondAE,BPTF,0.6082859635353088,0.5427819490432739,0.4,0.9,0.7291471508128091
CondAE,BRCA1,0.774894118309021,0.6461812257766724,0.6,1.0,0.9539359574150983
CondAE,BRCA2,0.7435870170593262,0.6360999345779419,0.5,1.0,0.9091355868464185
CondAE,BRD2,0.5669135451316833,0.4722568988800049,0.4,1.0,0.8686203230467756
CondAE,BRF1,0.7347526550292969,0.6291192770004272,0.55,1.0,0.9371520267584679
CondAE,BRF2,0.4955512285232544,0.4285886883735657,0.2,0.95,0.7780671576137826
CondAE,BRIP1,0.4940732717514038,0.4023447036743164,0.25,0.95,0.7982549275204367
CondAE,BRIX1,0.8821796774864197,0.8340463042259216,0.8,1.0,0.9719442774291833
CondAE,BTAF1,0.4997160732746124,0.41583743691444397,0.3,0.85,0.7481023191989331
CondAE,BTF3,0.6998664736747742,0.6012142896652222,0.6,0.95,0.8950532594990749
CondAE,BTF3L4,0.49429428577423096,0.4261512756347656,0.2,0.95,0.750139061850725
CondAE,BUB1,0.6890028715133667,0.5582144856452942,0.6,1.0,0.8245978838952109
CondAE,BUB1B,0.5392370223999023,0.43827077746391296,0.45,0.95,0.8184612020905377
CondAE,BYSL,0.8791972398757935,0.835329532623291,0.65,1.0,0.9665548297385078
CondAE,C12orf45,0.8854868412017822,0.8441716432571411,0.7,1.0,0.9558688380145371
CondAE,C17orf58,0.5749200582504272,0.47255024313926697,0.25,1.0,0.8224957029511772
CondAE,C18orf21,0.828089714050293,0.7291962504386902,0.7,1.0,0.9585893945506557
CondAE,C19orf25,0.6741147041320801,0.524313747882843,0.65,1.0,0.9108207902994827
CondAE,C19orf53,0.5877143740653992,0.5067107081413269,0.35,1.0,0.868022261154859
CondAE,C1orf131,0.8865499496459961,0.8215604424476624,0.85,1.0,0.981357865756124
CondAE,C7orf26,0.6775250434875488,0.6432665586471558,0.4,0.95,0.876666657514469
CondAE,C9orf16,0.4081149995326996,0.31889957189559937,0.1,0.9,0.634945187185115
CondAE,C9orf78,0.5240047574043274,0.4663178324699402,0.35,1.0,0.9055594040809039
CondAE,CA5A,0.45394667983055115,0.40428289771080017,0.1,1.0,0.7989514810332641
CondAE,CABIN1,0.6256277561187744,0.5576183199882507,0.3,1.0,0.8786201572791547
CondAE,CACTIN,0.8912491202354431,0.8981876373291016,0.45,1.0,0.9643756728248004
CondAE,CADM4,0.41778695583343506,0.33285367488861084,0.1,0.95,0.8311778278050018
CondAE,CALR,0.5474518537521362,0.6536120772361755,0.45,1.0,0.666524066600385
CondAE,CASC3,0.7805919051170349,0.6361058354377747,0.75,1.0,0.9171615013071776
CondAE,CBX1,0.36746227741241455,0.2981845438480377,0.25,0.85,0.7272639482344604
CondAE,CCAR1,0.567388117313385,0.45808473229408264,0.4,1.0,0.8200081452224857
CondAE,CCDC115,0.5329846143722534,0.4030139148235321,0.6,0.9,0.6503532321591492
CondAE,CCDC174,0.715201735496521,0.6298773884773254,0.45,1.0,0.8337630299907551
CondAE,CCDC59,0.7924546599388123,0.6480825543403625,0.8,1.0,0.937668323845132
CondAE,CCDC6,0.6937993764877319,0.6137837767601013,0.5,0.95,0.8657081030096343
CondAE,CCDC86,0.8701364398002625,0.790805459022522,0.75,1.0,0.9771959163635784
CondAE,CCNB1,0.46194109320640564,0.3791828751564026,0.25,0.9,0.6636958740291453
CondAE,CCNC,0.6316931843757629,0.5847989916801453,0.35,0.95,0.9394937997514968
CondAE,CCND3,0.37660208344459534,0.316318154335022,0.1,0.75,0.565302869950737
CondAE,CCNH,0.7299971580505371,0.6451557278633118,0.6,1.0,0.891229654666981
CondAE,CCP110,0.5511279702186584,0.42945730686187744,0.65,1.0,0.9325016128171735
CondAE,CCT2,0.8670861721038818,0.8418396711349487,0.75,1.0,0.9869489950072536
CondAE,CCT3,0.851323127746582,0.8228497505187988,0.85,1.0,0.9764569484780631
CondAE,CCT4,0.8379419445991516,0.7967259287834167,0.6,1.0,0.974239991748221
CondAE,CCT5,0.8444352149963379,0.7978120446205139,0.65,1.0,0.983388010379522
CondAE,CCT6A,0.8422948122024536,0.8145094513893127,0.55,1.0,0.964029713265585
CondAE,CCT7,0.8530653119087219,0.8176532983779907,0.65,1.0,0.974245548512864
CondAE,CCT8,0.7839279174804688,0.7142664790153503,0.6,1.0,0.9643589296453091
CondAE,CD2BP2,0.47098812460899353,0.41435402631759644,0.3,0.95,0.7912304518673905
CondAE,CD3EAP,0.8880237936973572,0.8267921209335327,0.9,1.0,0.9798653175376336
CondAE,CDC123,0.7283656001091003,0.6114746928215027,0.75,1.0,0.9535217249105411
CondAE,CDC16,0.700026273727417,0.6367650628089905,0.55,1.0,0.9255090060473594
CondAE,CDC20,0.6346110701560974,0.517325758934021,0.55,0.95,0.8538074450650535
CondAE,CDC42,0.7158904075622559,0.6209871768951416,0.55,1.0,0.8666633072784556
CondAE,CDC45,0.7186726927757263,0.5989853143692017,0.65,1.0,0.9510149046187177
CondAE,CDC6,0.8932495713233948,0.8468509912490845,0.9,1.0,0.9811778099873316
CondAE,CDIPT,0.5053153038024902,0.44189244508743286,0.25,0.9,0.7069948931476381
CondAE,CDK1,0.9059748649597168,0.8661193251609802,0.75,1.0,0.9505309363654357
CondAE,CDK2,0.5121781229972839,0.40720394253730774,0.5,0.95,0.7981588407788213
CondAE,CDT1,0.8740888833999634,0.8069368600845337,0.75,1.0,0.9719813648193275
CondAE,CEBPZ,0.9011901021003723,0.8492207527160645,0.85,1.0,0.9688716798810237
CondAE,CENPC,0.6685174107551575,0.5500091314315796,0.4,1.0,0.8719179972228915
CondAE,CENPJ,0.8714151382446289,0.8192973136901855,0.75,1.0,0.963312272106723
CondAE,CENPK,0.7264118790626526,0.5873895287513733,0.75,1.0,0.935103584483327
CondAE,CENPN,0.6451940536499023,0.5304667353630066,0.5,1.0,0.921110213917593
CondAE,CENPT,0.6636840105056763,0.5653184652328491,0.5,1.0,0.9406281829001588
CondAE,CENPW,0.7383103370666504,0.6493611335754395,0.75,1.0,0.9491255765898693
CondAE,CEP68,0.5127124190330505,0.415768563747406,0.3,0.95,0.8648546795499168
CondAE,CEP85,0.4897860884666443,0.42578795552253723,0.25,0.9,0.6713236172988123
