model,perturbation,real_delta_norm,pred_delta_norm,norm_ratio,abs_ratio,top20_sign,top20_recall
VAE,NLE1,8.111597,7.107014,0.8761547,0.839918,1.0,0.75
VAE,NMD3,6.0975657,5.32664,0.8735683,0.81722486,1.0,0.75
VAE,NOB1,3.492291,2.855192,0.8175699,0.71818405,1.0,0.7
VAE,NOC3L,5.896483,5.20467,0.8826736,0.82544214,1.0,0.75
VAE,NOC4L,6.1957736,5.2882743,0.8535293,0.79102904,1.0,0.75
VAE,NOL10,6.0088263,5.07466,0.8445343,0.8000161,1.0,0.7
VAE,NOL11,8.723909,7.605923,0.87184805,0.82463926,1.0,0.7
VAE,NOL12,5.589335,4.7737494,0.8540818,0.7881667,1.0,0.8
VAE,NOL6,6.8523192,5.984217,0.87331265,0.82520115,1.0,0.8
VAE,NOL7,2.543852,1.3406779,0.52702665,0.4305429,1.0,0.4
VAE,NOL8,7.2623434,6.4086623,0.882451,0.85208446,1.0,0.8
VAE,NOLC1,4.155679,3.4160569,0.8220213,0.73990214,1.0,0.7
VAE,NOM1,5.4370255,4.712623,0.86676496,0.8322102,1.0,0.75
VAE,NOMO1,2.405654,1.2300904,0.51133305,0.45927346,0.9,0.3
VAE,NOP14,6.5395284,5.8100324,0.88844824,0.8747063,1.0,0.75
VAE,NOP16,7.8407316,6.818982,0.86968696,0.7795519,1.0,0.9
VAE,NOP58,7.2462583,6.3160048,0.8716229,0.83252126,1.0,0.7
VAE,NOP9,2.4540231,1.2483484,0.5086946,0.41289443,1.0,0.4
VAE,NOS1AP,2.4504294,1.1232774,0.45840022,0.37955114,0.9,0.2
VAE,NPLOC4,7.7028832,6.5483537,0.8501172,0.82753056,1.0,0.7
VAE,NPM1,4.2525434,2.643386,0.62160116,0.64196354,1.0,0.6
VAE,NRBP1,3.2001288,2.0206027,0.6314129,0.52412236,1.0,0.4
VAE,NRDE2,3.9218519,2.809772,0.71644014,0.6590748,1.0,0.45
VAE,NSA2,6.3431277,5.5213084,0.8704394,0.81399584,1.0,0.75
VAE,NSMCE2,2.4449484,1.528119,0.6250107,0.49583298,0.95,0.5
VAE,NSUN4,2.0275764,0.9305252,0.4589347,0.36504278,0.95,0.4
VAE,NUB1,2.3568194,1.2571735,0.53341955,0.47610924,1.0,0.4
VAE,NUBP2,2.4821768,1.137244,0.45816398,0.3970857,0.9,0.05
VAE,NUDC,3.7853131,2.987066,0.78911996,0.6880358,1.0,0.75
VAE,NUDCD3,3.0324664,2.1022034,0.6932322,0.6225048,0.95,0.6
VAE,NUDT15,2.6026652,1.2501221,0.48032382,0.41768652,1.0,0.2
VAE,NUFIP1,2.635387,1.4856462,0.5637298,0.45655403,1.0,0.5
VAE,NUP107,5.1257577,4.354077,0.8494504,0.82842433,1.0,0.55
VAE,NUP133,2.4604669,1.7861755,0.7259498,0.6461656,1.0,0.5
VAE,NUP153,3.5935073,2.6695364,0.74287766,0.7177547,1.0,0.4
VAE,NUP160,5.806134,4.9503427,0.85260564,0.81876296,1.0,0.75
VAE,NUP214,2.4065409,1.6370647,0.68025637,0.5942958,1.0,0.5
VAE,NUP35,2.3977897,1.0583235,0.4413746,0.35470197,0.95,0.2
VAE,NUP43,1.9736569,0.92450196,0.4684208,0.37721226,1.0,0.35
VAE,NUP54,5.477287,4.477571,0.8174797,0.6941648,1.0,0.7
VAE,NUP62,6.9928794,5.635461,0.8058856,0.7385273,1.0,0.6
VAE,NUP85,2.6938374,1.9506259,0.7241068,0.64884317,1.0,0.4
VAE,NUP88,2.8761017,2.2714746,0.7897755,0.7456739,1.0,0.6
VAE,NUP98,7.5759487,6.601845,0.8714215,0.8488526,1.0,0.8
VAE,NUTF2,4.525183,3.6355517,0.80340433,0.7709376,1.0,0.6
VAE,NVL,7.5347795,6.6783814,0.8863407,0.83806634,1.0,0.8
VAE,OGFOD1,3.2521417,1.9788605,0.6084792,0.5458224,1.0,0.5
VAE,OIP5,2.3759985,0.969256,0.40793628,0.32326734,0.9,0.2
VAE,OLFML3,1.9158112,0.9210189,0.48074618,0.4298256,0.9,0.15
VAE,OPA1,3.7662854,2.8511202,0.7570112,0.6267618,0.95,0.5
VAE,ORC3,2.9007027,1.3707802,0.47256833,0.4108977,0.85,0.3
VAE,ORC4,2.2697535,0.94817895,0.41774535,0.35629484,0.9,0.2
VAE,ORC5,2.0450494,0.9952693,0.4866725,0.4048826,0.95,0.25
VAE,ORC6,3.8671453,3.0959835,0.8005863,0.6807492,1.0,0.75
VAE,OSGEP,3.053641,1.6850319,0.55181074,0.4315107,0.95,0.4
VAE,OSTC,3.3538437,2.0945191,0.62451303,0.495391,1.0,0.45
VAE,PABPC1,9.182985,7.6729574,0.8355624,0.8752298,1.0,0.5
VAE,PABPC4,3.313994,1.8021698,0.543806,0.50706184,0.95,0.4
VAE,PABPN1,4.774321,3.179133,0.6658817,0.6442462,1.0,0.35
VAE,PAF1,9.230793,7.4912252,0.81154734,0.7747598,1.0,0.65
VAE,PALB2,2.5757134,1.3741106,0.5334874,0.44199252,0.95,0.3
VAE,PAM16,7.4587865,6.555889,0.8789485,0.81906307,1.0,0.5
VAE,PARN,1.8544759,0.9693253,0.522695,0.4127855,1.0,0.45
VAE,PAXBP1,3.9335027,2.703618,0.6873309,0.62150943,1.0,0.35
VAE,PCBP1,4.319369,3.4223464,0.79232556,0.7508541,1.0,0.55
VAE,PCID2,2.48529,1.3794376,0.5550409,0.4743353,0.95,0.3
VAE,PCNA,6.6289725,5.698281,0.8596024,0.82578075,1.0,0.75
VAE,PCNX3,2.148493,1.0141056,0.47200784,0.4020085,0.95,0.3
VAE,PDAP1,3.1120107,1.597097,0.5132042,0.41297,0.95,0.3
VAE,PDCD11,7.864855,6.991625,0.8889706,0.88294667,1.0,0.75
