model,cell_mse,delta_corr,delta_slope,norm_ratio_mean,norm_ratio_median
CondAE,0.10273444652557373,0.8297343642860604,0.6778762340545654,0.6916943788528442,0.7056902647018433
gamma_1.2,0.10403106361627579,0.8297343657971751,0.8134515285491943,0.8300333023071289,0.8468283414840698
gamma_1.4,0.1083332896232605,0.8297343658945118,0.9490269422531128,0.968372106552124,0.9879663586616516
gamma_1.6,0.11564115434885025,0.829734365726466,1.0846022367477417,1.1067109107971191,1.1291043758392334
Evoformer,0.15102486312389374,0.8197588112447753,0.7547314167022705,0.8117045164108276,0.8237451910972595
