model,de_delta_corr_all,de_delta_slope_all,pred_sig_count_mean,real_sig_count_mean,sig_count_ratio_median,top100_overlap_mean,real_top20_sign_mean,real_top20_abs_ratio
VAE,0.8713438652143591,0.7304400029366038,662.9805970149254,206.66716417910447,3.9999999999998197,0.7336567164179104,0.9317537313432835,0.765291285672738
VAE_no_norm,0.882924647409381,0.7552851324707606,659.6261194029851,206.66716417910447,3.972399328859045,0.732044776119403,0.9342910447761192,0.7698869637536362
CondAE_cell_only,0.8973252622344947,0.7607423196097212,662.7805970149253,206.66716417910447,4.01304052332001,0.7355522388059701,0.9372388059701493,0.7781343682944453
Evoformer,0.794094040928181,0.7217067702956729,581.2268656716418,206.66716417910447,3.4652724968313677,0.6699328358208955,0.9280597014925372,0.8106837953976067
